Video ID number,main entry gloss label,entry/variant gloss label,occurrence label,start frame of video clip containing the sign (relative to full videos),end frame of video clip containing the sign (relative to full videos),start frame of the sign (relative to full videos),end frame of the sign (relative to full videos),Dominant start handshape,Non-dominant start handshape,Dominant end handshape,Non-dominant end handshape,full video file,sign type,Class Label
5520,LOBSTER,LOBSTER,LOBSTER+,4266,4397,4316,4347,V,V,U,U,ASL_2011_06_14_Brady_scene50-camera1.mov,Lexical Signs,CRAB/LOBSTER
2507,CRACK,CRACK,CRACK,2552,2690,2602,2640,B-L,B-L,B-L,B-L,ASL_2011_06_08_Brady_scene31-camera1.mov,Lexical Signs,CRACK
2511,CRACKER/PASSOVER,CRACKER/PASSOVER,CRACKER/PASSOVER++,2769,2900,2819,2850,A,A,A,A,ASL_2011_06_08_Brady_scene31-camera1.mov,Lexical Signs,CRACKER/PASSOVER
398,CRASH,(5)CRASH,(5)CRASH,3011,3134,3061,3084,5,5,S,5,ASL_2011_06_08_Brady_scene31-camera1.mov,Lexical Signs,CRASH
2518,CRAZY,CRAZY,CRAZY+,4100,4246,4150,4196,1,,1,,ASL_2011_06_08_Brady_scene31-camera1.mov,Lexical Signs,CRAZY
2523,CREAM,CREAM,CREAM,6141,6268,6191,6218,5,B-L,S,B-L,ASL_2011_06_08_Brady_scene31-camera1.mov,Lexical Signs,CREAM
2531,CREDIT-CARD,CREDIT-CARD,CREDIT-CARD,6446,6577,6496,6527,S,B-L,S,B-L,ASL_2011_06_08_Brady_scene31-camera1.mov,Lexical Signs,CREDIT-CARD
2533,CRIPPLE,CRIPPLE,CRIPPLE+,7254,7398,7304,7348,bent-1,bent-1,bent-1,bent-1,ASL_2011_06_08_Brady_scene31-camera1.mov,Lexical Signs,CRIPPLE
2538,CROSS,CROSS,CROSS,7854,7986,7904,7936,tight-C,,tight-C,,ASL_2011_06_08_Brady_scene31-camera1.mov,Lexical Signs,CROSS
2540,CROSS-MY-HEART,CROSS-MY-HEART,CROSS-MY-HEART,4055,4192,4105,4142,1,B-L,1,B-L,ASL_2011_07_19_Brady_scene44-camera1.mov,Lexical Signs,CROSS-MY-HEART
2542,CROWDED,CROWDED,CROWDED,8687,8821,8737,8771,5,5,5,5,ASL_2011_06_08_Brady_scene31-camera1.mov,Lexical Signs,CROWDED
2545,CROWN,CROWN,CROWN,9490,9606,9540,9556,crvd-L,crvd-L,crvd-L,crvd-L,ASL_2011_06_08_Brady_scene31-camera1.mov,Lexical Signs,CROWN
2546,CROWN,CROWN,CROWN,10681,10797,10731,10747,crvd-L,crvd-L,crvd-L,crvd-L,ASL_2011_06_14_Brady_scene3-camera1.mov,Lexical Signs,CROWN
2550,CRUEL,CRUEL,CRUEL,1662,1783,1712,1733,5,5,A,10,ASL_2011_06_14_Brady_scene32-camera1.mov,Lexical Signs,CRUEL
2557,CRUSH,CRUSH,CRUSH,9814,9954,9864,9904,crvd-5,crvd-5,A,A,ASL_2011_06_08_Brady_scene31-camera1.mov,Lexical Signs,CRUSH
2559,CRY,CRY,CRY++,10383,10530,10433,10480,1,1,X,X,ASL_2011_06_08_Brady_scene31-camera1.mov,Lexical Signs,CRY
2561,CUBED,CUBED,CUBED,11610,11734,11660,11684,3,,3,,ASL_2011_06_08_Brady_scene31-camera1.mov,Number Signs,CUBED
2565,CULTURE,CULTURE,CULTURE,11971,12092,12021,12042,C,1,C,1,ASL_2011_06_08_Brady_scene31-camera1.mov,Lexical Signs,CULTURE
2574,CURIOUS,CURIOUS,CURIOUS,13030,13180,13080,13130,F,,F,,ASL_2011_06_08_Brady_scene31-camera1.mov,Lexical Signs,CURIOUS
2577,CURLY,CURLY,CURLY,13346,13491,13396,13441,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2011_06_08_Brady_scene31-camera1.mov,Lexical Signs,CURLY
207694,CURSE,CURSE,CURSE,14803,14921,14853,14871,Y,1,Y,1,ASL_2011_06_08_Brady_scene31-camera1.mov,Lexical Signs,CURSE
2586,CURTAIN,CURTAIN,CURTAIN,70,197,120,147,4,4,4,4,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,CURTAIN
2591,CURVE,CURVE,CURVE,604,724,654,674,B-xd,,crvd-flat-B,,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,CURVE
2594,CUSHION,CUSHION,CUSHION+,984,1106,1034,1056,C,C,tight-C,tight-C,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,CUSHION
2597,CUSTOMER,CUSTOMER,CUSTOMER,1529,1649,1579,1599,C,C,C,C,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,CUSTOMER
2601,CUT,CUT,CUT,1766,1882,1816,1832,1,S,1,S,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,CUT
2605,CUT-FABRIC,CUT-FABRIC,CUT-FABRIC++,2626,2753,2676,2703,V,V,U,U,ASL_2011_06_14_Brady_scene15-camera1.mov,Lexical Signs,CUT-FABRIC
2607,CUT-WITH-SCISSORS,CUT-WITH-SCISSORS,CUT-WITH-SCISSORS,3090,3229,3140,3179,V,,U,,ASL_2011_07_19_Brady_scene73-camera1.mov,Lexical Signs,CUT-WITH-SCISSORS
2616,CUTE,CUTE,CUTE+,6581,6703,6631,6653,U-L,,10,,ASL_2011_06_08_Brady_scene25-camera1.mov,Lexical Signs,CUTE
2618,CUTE,CUTE,CUTE++,1991,2120,2041,2070,U-L,,bent-U-L,,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,CUTE
2619,CUTE,CUTE,CUTE++,2891,3039,2941,2989,bent-U-L,,A,,ASL_2011_07_19_Brady_scene103-camera1.mov,Lexical Signs,CUTE
2620,CUTE,CUTE,CUTE++,835,974,885,924,U-L,,A,,ASL_2011_07_22_Brady_scene45-camera1.mov,Lexical Signs,CUTE
2625,CYCLE,CYCLE,CYCLE,2259,2398,2309,2348,1,1,1,1,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,CYCLE
2630,D,D,D,2533,2659,2583,2609,D,,D,,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,D
2634,DANCE,DANCE,DANCE+,3406,3558,3456,3508,V,B-L,V,B-L,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,DANCE
2640,DANGER,DANGER,DANGER+,1472,1600,1522,1550,10,10,10,10,ASL_2011_07_19_Brady_scene116-camera1.mov,Lexical Signs,DANGER
2642,DANGER,DANGER,DANGER++,3639,3782,3689,3732,10,10,10,10,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,DANGER
2645,DARE,DARE,DARE,5443,5559,5493,5509,10,10,10,10,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,DARE
2646,DARE,DARE,DARE,1897,2020,1947,1970,10,10,10,10,ASL_2011_07_22_Brady_scene41-camera1.mov,Lexical Signs,DARE
2651,DARK,DARK,DARK,5560,5681,5610,5631,B-L,B-L,B-L,B-L,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,DARK
2652,DARK,DARK,DARK,103,222,153,172,B-L,B-L,B-L,B-L,ASL_2011_07_19_Brady_scene79-camera1.mov,Lexical Signs,DARK
2658,DARTS,DARTS,DARTS,6888,7009,6938,6959,baby-O,,L,,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,DARTS
2661,DASH-LINES,DASH-LINES,DASH-LINES,7322,7476,7372,7426,bent-1,,bent-1,,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,DASH-LINES
2667,DATE/DESSERT,DATE/DESSERT,DATE/DESSERT+,7666,7784,7716,7734,D,D,D,D,ASL_2011_06_08_Brady_scene33-camera1.mov,Lexical Signs,DATE/DESSERT
2669,DATE/DESSERT,DATE/DESSERT,DATE/DESSERT++,7613,7737,7663,7687,D,D,D,D,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,DATE/DESSERT
2670,DATE/DESSERT,DATE/DESSERT,DATE/DESSERT++,7268,7390,7318,7340,D,D,D,D,ASL_2011_06_08_Brady_scene33-camera1.mov,Lexical Signs,DATE/DESSERT
2673,DAUGHTER,DAUGHTER,DAUGHTER,7822,7937,7872,7887,B,A,B,A,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,DAUGHTER
485,DAY,(D)DAY,(D)DAY,8317,8434,8367,8384,D,bent-B,D,bent-B,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,DAY
39791,"DCL:crvd-5\tall wide cylindrical object\""+HANDLE""","DCL:crvd-5\tall wide cylindrical object\""+HANDLE""","DCL:crvd-5\tall wide cylindrical object\""+HANDLE""",3823,3959,3873,3909,crvd-5,crvd-5,S,crvd-5,ASL_2011_06_14_Brady_scene3-camera1.mov,Compound Signs,"DCL:crvd-5\tall wide cylindrical object\""+HANDLE"""
2700,DEAF,DEAF,DEAF,8539,8665,8589,8615,1,,1,,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,DEAF
2701,DEAF,DEAF,DEAF,11513,11633,11563,11583,1,,1,,ASL_2011_06_14_Brady_scene3-camera1.mov,Lexical Signs,DEAF
2707,DEAF-APPLAUSE,DEAF-APPLAUSE,DEAF-APPLAUSE,6072,6203,6122,6153,5,5,5,5,ASL_2011_06_08_Brady_scene12-camera1.mov,Lexical Signs,DEAF-APPLAUSE
2709,DEAL-CARDS,DEAL-CARDS,DEAL-CARDS,3539,3673,3589,3623,X-over-thumb,X-over-thumb,X-over-thumb,X-over-thumb,ASL_2011_07_19_Brady_scene35-camera1.mov,Lexical Signs,DEAL-CARDS
2715,DECIDE,DECIDE,DECIDE,10923,11045,10973,10995,F,F,F,F,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,DECIDE
2716,DECIDE,DECIDE,DECIDE,1520,1638,1570,1588,F,F,F,F,ASL_2011_07_22_Brady_scene41-camera1.mov,Lexical Signs,DECIDE
2719,DECONSTRUCT,DECONSTRUCT,DECONSTRUCT,9097,9241,9147,9191,S,S,S,S,ASL_2011_06_08_Brady_scene23-camera1.mov,Lexical Signs,DECONSTRUCT
2723,DECORATE,DECORATE,DECORATE,11388,11525,11438,11475,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,DECORATE
2730,DECREASE,DECREASE,DECREASE,3419,3550,3469,3500,U,U,U,U,ASL_2011_06_14_Brady_scene48-camera1.mov,Lexical Signs,DECREASE
207815,DECREASE,DECREASE,DECREASE,2393,2515,2443,2465,U,U,U,U,ASL_2011_07_19_Brady_scene52-camera1.mov,Lexical Signs,DECREASE
207816,DECREASE,DECREASE,DECREASE,2374,2494,2424,2444,U,U,U,U,ASL_2011_07_22_Brady_scene50-camera1.mov,Lexical Signs,DECREASE
2732,DECREASE,DECREASE,DECREASE+,2607,2740,2657,2690,U,U,U,U,ASL_2011_06_08_Brady_scene34-camera1.mov,Lexical Signs,DECREASE
2736,DEEP,DEEP,DEEP,11619,11737,11669,11687,bent-1,B-L,bent-1,B-L,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,DEEP
2742,DEFEND,DEFEND,DEFEND+,871,994,921,944,S,S,S,S,ASL_2011_07_19_Brady_scene45-camera1.mov,Lexical Signs,DEFEND
2743,DEFEND,DEFEND,DEFEND++,11875,12010,11925,11960,S,S,S,S,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,DEFEND
2747,DEFLATE,DEFLATE,DEFLATE,14092,14216,14142,14166,B-L,B,flat-O,B,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,DEFLATE
323,DELETE,(2h)DELETE,(2h)DELETE,3254,3374,3304,3324,cocked-S,1,10,psv,ASL_2011_06_14_Brady_scene11-camera1.mov,Lexical Signs,DELETE
2751,DELETE,DELETE,DELETE,3734,3838,3784,3808,X-over-thumb,,10,,ASL_2011_07_22_Brady_scene39-camera1.mov,Lexical Signs,DELETE
2757,DELICIOUS,DELICIOUS_2,DELICIOUS_2,14346,14465,14396,14415,8,,X-over-thumb,,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,DELICIOUS
2761,DEMOCRAT,DEMOCRAT,DEMOCRAT,14837,14969,14887,14919,D,,D,,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,DEMOCRAT
2763,DENTIST,DENTIST,DENTIST+,482,612,532,562,S,,S,,ASL_2011_06_08_Brady_scene33-camera1.mov,Lexical Signs,DENTIST
2766,DENY,DENY,DENY+,412,535,462,485,10,10,10,10,ASL_2011_06_08_Brady_scene33-camera1.mov,Lexical Signs,DENY
2770,DEPARTMENT,DEPARTMENT,DEPARTMENT,1065,1189,1115,1139,D,D,D,D,ASL_2011_06_08_Brady_scene33-camera1.mov,Lexical Signs,DEPARTMENT
2776,DEPEND,DEPEND,DEPEND+,1276,1410,1326,1360,1,1,1,1,ASL_2011_06_08_Brady_scene33-camera1.mov,Lexical Signs,DEPEND
2781,DEPOSIT,DEPOSIT,DEPOSIT,4110,4226,4160,4176,10,10,10,10,ASL_2011_06_08_Brady_scene33-camera1.mov,Lexical Signs,DEPOSIT
2787,DEPRESS,DEPRESS,DEPRESS,2154,2287,2204,2237,25,25,25,25,ASL_2011_06_08_Brady_scene33-camera1.mov,Lexical Signs,DEPRESS
2788,DEPRESS,DEPRESS,DEPRESS,3536,3667,3586,3617,25,25,25,25,ASL_2011_06_08_Brady_scene33-camera1.mov,Lexical Signs,DEPRESS
2793,DESTROY,DESTROY,DESTROY,7942,8069,7992,8019,5-C,5-C,A,A,ASL_2011_06_08_Brady_scene33-camera1.mov,Lexical Signs,DESTROY
2797,DETECTIVE,DETECTIVE,DETECTIVE+,8210,8342,8260,8292,D,,D,,ASL_2011_06_08_Brady_scene33-camera1.mov,Lexical Signs,DETECTIVE
2801,DETERIORATE,DETERIORATE,DETERIORATE,9575,9725,9625,9675,10,10,10,10,ASL_2011_06_08_Brady_scene33-camera1.mov,Lexical Signs,DETERIORATE
2807,DEVELOP,DEVELOP,DEVELOP,10097,10218,10147,10168,B-xd,B-L,B-xd,B-L,ASL_2011_06_08_Brady_scene33-camera1.mov,Lexical Signs,DEVELOP
2808,DEVELOP,DEVELOP,DEVELOP,10674,10794,10724,10744,B-xd,B-L,B-xd,B-L,ASL_2011_06_08_Brady_scene33-camera1.mov,Lexical Signs,DEVELOP
2809,DEVELOP,DEVELOP,DEVELOP,1587,1710,1637,1660,B-xd,B-L,B-xd,B-L,ASL_2011_07_19_Brady_scene81-camera1.mov,Lexical Signs,DEVELOP
327,DEVIL/MISCHIEVOUS,(2h)DEVIL/MISCHIEVOUS,(2h)DEVIL/MISCHIEVOUS++,1939,2093,1989,2043,3,3,crvd-3,crvd-3,ASL_2011_07_22_Brady_scene47-camera1.mov,Lexical Signs,DEVIL/MISCHIEVOUS
328,DEVIL/MISCHIEVOUS,(2h)DEVIL/MISCHIEVOUS,(2h)DEVIL/MISCHIEVOUS++,71,235,121,185,3,3,crvd-3,crvd-3,ASL_2011_07_22_Brady_scene48-camera1.mov,Lexical Signs,DEVIL/MISCHIEVOUS
361,DEVIL/MISCHIEVOUS,(2h)MISCHIEVOUS,(2h)MISCHIEVOUS++,1751,1893,1801,1843,3,3,crvd-V,crvd-V,ASL_2011_07_19_Brady_scene3-camera1.mov,Lexical Signs,DEVIL/MISCHIEVOUS
2814,DEVIL/MISCHIEVOUS,DEVIL/MISCHIEVOUS,DEVIL/MISCHIEVOUS++,11222,11358,11272,11308,3,,crvd-3,,ASL_2011_06_08_Brady_scene33-camera1.mov,Lexical Signs,DEVIL/MISCHIEVOUS
2815,DEVOUR,DEVOUR,DEVOUR,1099,1226,1149,1176,5,,S,,ASL_2011_06_08_Brady_scene30-camera1.mov,Lexical Signs,DEVOUR
2820,DIALOG,DIALOG,DIALOG++,504,634,554,584,1,1,1,1,ASL_2011_06_08_Brady_scene34-camera1.mov,Lexical Signs,DIALOG
2822,DIAMOND,DIAMOND,DIAMOND++,781,904,831,854,D,B-xd,D,B-xd,ASL_2011_06_08_Brady_scene34-camera1.mov,Lexical Signs,DIAMOND
2826,DICTIONARY,DICTIONARY,DICTIONARY++,2125,2259,2175,2209,D,B-L,D,B-L,ASL_2011_06_08_Brady_scene34-camera1.mov,Lexical Signs,DICTIONARY
2830,DIE,DIE,DIE,2378,2496,2428,2446,B-L,B-L,B-L,B-L,ASL_2011_06_08_Brady_scene34-camera1.mov,Lexical Signs,DIE
2834,DIM,DIM_2,DIM_2,3739,3867,3789,3817,5,5,5-C,5-C,ASL_2011_06_08_Brady_scene34-camera1.mov,Lexical Signs,DIM
171,DIMPLE,(1h)DIMPLE,(1h)DIMPLE,4655,4783,4705,4733,1,,1,,ASL_2011_06_08_Brady_scene34-camera1.mov,Lexical Signs,DIMPLE
207740,DIMPLE,DIMPLE,DIMPLE,4819,4937,4869,4887,1,1,1,1,ASL_2011_06_08_Brady_scene34-camera1.mov,Lexical Signs,DIMPLE
2840,DINNER,DINNER,DINNER++,6358,6483,6408,6433,D,,D,,ASL_2011_06_08_Brady_scene34-camera1.mov,Lexical Signs,DINNER
39807,DINNER+BOX/ROOM,DINNER+BOX/ROOM,DINNER++BOX/ROOM,1307,1438,1357,1388,D,,B-L,B-L,ASL_2011_06_14_Brady_scene5-camera1.mov,Compound Signs,DINNER+BOX/ROOM
491,DINOSAUR,(D)DINOSAUR,(D)DINOSAUR,6662,6784,6712,6734,D,B-xd,D,B-xd,ASL_2011_06_08_Brady_scene34-camera1.mov,Lexical Signs,DINOSAUR
492,DINOSAUR,(D)DINOSAUR,(D)DINOSAUR,425,553,475,503,D,B,D,B,ASL_2011_06_14_Brady_scene10-camera1.mov,Lexical Signs,DINOSAUR
602,DIPLOMA,(O)DIPLOMA,(O)DIPLOMA,1621,1750,1671,1700,O,O,O,O,ASL_2011_06_08_Brady_scene35-camera1.mov,Lexical Signs,DIPLOMA
2847,DIPLOMA,DIPLOMA,DIPLOMA,6927,7045,6977,6995,F,F,F,F,ASL_2011_06_08_Brady_scene34-camera1.mov,Lexical Signs,DIPLOMA
3492,DIRECT,DIRECT/EXPLAIN,DIRECT/EXPLAIN+,6613,6755,6663,6705,F,F,F,F,ASL_2011_06_14_Brady_scene14-camera1.mov,Lexical Signs,DIRECT
3494,DIRECT,DIRECT/EXPLAIN,DIRECT/EXPLAIN++,2055,2235,2105,2185,F,F,F,F,ASL_2011_06_08_Brady_scene35-camera1.mov,Lexical Signs,DIRECT
39815,DIRECT+AGENT,DIRECT+AGENT,DIRECT+AGENT,1817,1938,1867,1888,D,D,B-L,B-L,ASL_2011_06_14_Brady_scene5-camera1.mov,Compound Signs,DIRECT+AGENT
2855,DIRTY,DIRTY,DIRTY,2988,3111,3038,3061,5,,5,,ASL_2011_06_08_Brady_scene35-camera1.mov,Lexical Signs,DIRTY
41053,THINK+OPPOSITE,THINK+OPPOSITE,THINK+OPPOSITE,2076,2196,2126,2146,1,,bent-1,1,ASL_2011_06_14_Brady_scene5-camera1.mov,Compound Signs,DISAGREE
2862,DISAPPEAR,DISAPPEAR,DISAPPEAR,3411,3533,3461,3483,1,B-L,S,B-L,ASL_2011_06_08_Brady_scene35-camera1.mov,Lexical Signs,DISAPPEAR
2869,DISAPPOINT,DISAPPOINT,DISAPPOINT,3645,3774,3695,3724,1,,1,,ASL_2011_06_08_Brady_scene35-camera1.mov,Lexical Signs,DISAPPOINT
2870,DISAPPOINT,DISAPPOINT,DISAPPOINT,5222,5347,5272,5297,1,,1,,ASL_2011_06_14_Brady_scene18-camera1.mov,Lexical Signs,DISAPPOINT
2871,DISAPPOINT,DISAPPOINT,DISAPPOINT,2539,2662,2589,2612,1,,1,,ASL_2011_07_19_Brady_scene3-camera1.mov,Lexical Signs,DISAPPOINT
207747,DISCIPLINE,(nd-1)DISCIPLINE,(nd-1)DISCIPLINE,3850,3976,3900,3926,D,1,D,1,ASL_2011_06_08_Brady_scene35-camera1.mov,Lexical Signs,DISCIPLINE
2881,DISCONNECT,DISCONNECT,DISCONNECT,4104,4222,4154,4172,8,8,5,5,ASL_2011_06_08_Brady_scene35-camera1.mov,Lexical Signs,DISCONNECT
2882,DISCONNECT,DISCONNECT,DISCONNECT,2917,3036,2967,2986,8,8,5,5,ASL_2011_07_19_Brady_scene54-camera1.mov,Lexical Signs,DISCONNECT
2883,DISCONNECT,DISCONNECT,DISCONNECT,3163,3277,3213,3227,F,F,5,5,ASL_2011_07_19_Brady_scene54-camera1.mov,Lexical Signs,DISCONNECT
2884,DISCONNECT,DISCONNECT,DISCONNECT,2782,2904,2832,2854,8,8,5,5,ASL_2011_07_22_Brady_scene50-camera1.mov,Lexical Signs,DISCONNECT
2888,DISCRIMINATE,DISCRIMINATE,DISCRIMINATE,4761,4902,4811,4852,D,B-L,D,B-L,ASL_2011_06_08_Brady_scene35-camera1.mov,Lexical Signs,DISCRIMINATE
2895,DISCUSS,DISCUSS,DISCUSS+++,9707,9859,9757,9809,1,B-L,1,B-L,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,DISCUSS
2896,DISCUSS,DISCUSS,DISCUSS+++,5009,5153,5059,5103,1,B-L,1,B-L,ASL_2011_06_08_Brady_scene35-camera1.mov,Lexical Signs,DISCUSS
2902,DISGUST,DISGUST,DISGUST+,1356,1518,1406,1468,5-C,,5-C,,ASL_2011_07_19_Brady_scene82-camera1.mov,Lexical Signs,DISGUST
2904,DISGUST,DISGUST,DISGUST++,5219,5346,5269,5335,5,,5-C,,ASL_2011_06_08_Brady_scene35-camera1.mov,Lexical Signs,DISGUST
2908,DISH,DISH,DISH,1314,1434,1364,1384,crvd-L,crvd-L,crvd-L,crvd-L,ASL_2011_06_08_Brady_scene36-camera1.mov,Lexical Signs,DISH
2912,DISH,DISH-pl,DISH-pl,1563,1696,1613,1646,crvd-L,crvd-L,crvd-L,crvd-L,ASL_2011_06_08_Brady_scene36-camera1.mov,Lexical Signs,DISH
2920,DISMISS,DISMISS,DISMISS,2936,3053,2986,3003,bent-B-L,flat-B,bent-B-L,flat-B,ASL_2011_06_14_Brady_scene47-camera1.mov,Lexical Signs,DISMISS
2924,DISTRIBUTE,DISTRIBUTE,DISTRIBUTE,2705,2830,2755,2780,flat-O,flat-O,5,5,ASL_2011_06_08_Brady_scene36-camera1.mov,Lexical Signs,DISTRIBUTE
2927,DIVE,DIVE,DIVE,3797,3921,3847,3871,B-L,B-L,B-L,B-L,ASL_2011_06_08_Brady_scene36-camera1.mov,Lexical Signs,DIVE
2931,DIVE-OFF-BOARD,DIVE-OFF-BOARD_2,DIVE-OFF-BOARD_2,4112,4242,4162,4192,U,U,U,U,ASL_2011_06_08_Brady_scene36-camera1.mov,Lexical Signs,DIVE-OFF-BOARD
2932,DIVE-OFF-BOARD,DIVE-OFF-BOARD_2,DIVE-OFF-BOARD_2,3714,3843,3764,3793,U,U,U,U,ASL_2011_07_22_Brady_scene41-camera1.mov,Lexical Signs,DIVE-OFF-BOARD
2937,DIVIDE,DIVIDE,DIVIDE,4427,4537,4477,4487,B-L,B-L,B-L,B-L,ASL_2011_06_08_Brady_scene36-camera1.mov,Lexical Signs,DIVIDE
2941,DIVORCE,DIVORCE,DIVORCE,4993,5107,5043,5057,D,D,D,D,ASL_2011_06_08_Brady_scene36-camera1.mov,Lexical Signs,DIVORCE
2944,DIZZY,DIZZY,DIZZY+,5212,5379,5262,5329,crvd-5,,crvd-5,,ASL_2011_06_08_Brady_scene36-camera1.mov,Lexical Signs,DIZZY
2949,DO,DO,DO+,5497,5634,5547,5584,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2011_06_08_Brady_scene36-camera1.mov,Lexical Signs,DO
2950,DO,DO,DO+,6249,6380,6299,6330,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2011_06_08_Brady_scene36-camera1.mov,Lexical Signs,DO
2952,DO-DO,DO-DO,DO-DO+,9794,9925,9844,9875,G,G,flat-G,flat-G,ASL_2011_06_14_Brady_scene28-camera1.mov,Lexical Signs,DO-DO
2954,DO-DO,DO-DO,DO-DO+++,342,482,392,432,G,G,baby-O,baby-O,ASL_2011_07_22_Brady_scene28-camera1.mov,Lexical Signs,DO-DO
39820,DO-DO+HAPPEN,DO-DO+HAPPEN,DO-DO+HAPPEN,628,758,678,708,G,G,1,1,ASL_2011_07_22_Brady_scene28-camera1.mov,Compound Signs,DO-DO+HAPPEN
2958,DOCTOR,DOCTOR,DOCTOR+,603,731,653,681,bent-B-L,A,bent-B-L,A,ASL_2011_06_08_Brady_scene37-camera1.mov,Lexical Signs,DOCTOR
2961,DOCTOR,DOCTOR,DOCTOR++,8082,8220,8132,8170,bent-B-L,A,bent-B-L,A,ASL_2011_06_08_Brady_scene36-camera1.mov,Lexical Signs,DOCTOR
44,#DOG,#DOG,#DOG+,780,901,830,851,D,,G,,ASL_2011_06_08_Brady_scene37-camera1.mov,Loan Signs,DOG
207751,DOLLAR,DOLLAR,DOLLAR,1214,1330,1264,1280,crvd-B,B-L,A,B-L,ASL_2011_06_08_Brady_scene37-camera1.mov,Lexical Signs,DOLLAR
207752,DOLLAR,DOLLAR_2,DOLLAR_2,1466,1591,1516,1541,tight-C,B-L,flat-O,B-L,ASL_2011_06_08_Brady_scene37-camera1.mov,Lexical Signs,DOLLAR
2972,DON'T,DON'T,DON'T,360,478,410,428,B-L,B-L,B-L,B-L,ASL_2011_06_08_Brady_scene38-camera1.mov,Lexical Signs,DON'T
2973,DONKEY,DONKEY,DONKEY++,2498,2644,2548,2594,B-L,,bent-B-L,,ASL_2011_06_08_Brady_scene37-camera1.mov,Lexical Signs,DONKEY
623,DONUT,(R)DONUT,(R)DONUT,3781,3901,3831,3851,R,R,R,R,ASL_2011_06_14_Brady_scene6-camera1.mov,Lexical Signs,DONUT
2976,DOOR,DOOR,DOOR+,1096,1217,1146,1167,B,B,B,B,ASL_2011_06_14_Brady_scene6-camera1.mov,Lexical Signs,DOOR
2980,DOOR,DOOR-pl,DOOR-pl,1473,1614,1523,1564,B,B,B,B,ASL_2011_06_14_Brady_scene6-camera1.mov,Lexical Signs,DOOR
173,DOORBELL,(1h)DOORBELL,(1h)DOORBELL+,2438,2558,2488,2508,A,,A,,ASL_2011_06_14_Brady_scene6-camera1.mov,Lexical Signs,DOORBELL
2986,DORM,DORM,DORM,2789,2914,2839,2864,D,,D,,ASL_2011_06_14_Brady_scene6-camera1.mov,Lexical Signs,DORM
2989,DOUBT,DOUBT,DOUBT+,3491,3612,3541,3562,crvd-V,,crvd-V,,ASL_2011_06_14_Brady_scene6-camera1.mov,Lexical Signs,DOUBT
2990,DOUBT,DOUBT,DOUBT+,2303,2434,2353,2384,V,,crvd-V,,ASL_2011_07_19_Brady_scene85-camera1.mov,Lexical Signs,DOUBT
2998,DOWN,DOWN,DOWN,4029,4147,4079,4097,1,,1,,ASL_2011_06_14_Brady_scene6-camera1.mov,Lexical Signs,DOWN
3001,DOWN,DOWN,DOWN+,3965,4107,4015,4057,bent-1,,bent-1,,ASL_2011_07_22_Brady_scene41-camera1.mov,Lexical Signs,DOWN
3005,DOWNSTAIRS,DOWNSTAIRS,DOWNSTAIRS,1260,1403,1310,1353,crvd-V,,crvd-V,,ASL_2011_07_19_Brady_scene95-camera1.mov,Lexical Signs,DOWNSTAIRS
207757,DREAM,DREAM,DREAM,717,856,767,806,1,,X,,ASL_2011_06_14_Brady_scene7-camera1.mov,Lexical Signs,DREAM
207704,DRESS/CLOTHES,DRESS/CLOTHES,DRESS/CLOTHES,1280,1405,1330,1355,5,5,5,5,ASL_2011_06_14_Brady_scene7-camera1.mov,Lexical Signs,DRESS/CLOTHES
